driverId,week,hours-logged,miles-logged
31,5,79,1100
98,9,76,3300
40,27,69,2000
73,17,71,1200
22,30,51,1300
89,17,61,3000
91,16,71,3400
15,28,60,100
106,49,54,3000
109,1,70,1700
62,7,55,2500
19,31,64,200
99,23,62,0
63,35,54,3900
13,11,59,1700
57,1,65,3900
53,30,64,3400
45,11,51,3200
24,39,72,3300
33,48,58,2700
28,29,76,3500
92,43,74,3700
21,3,67,200
37,27,62,3200
77,15,50,1200
54,11,57,700
14,25,73,1300
79,39,70,900
47,41,62,3100
52,38,70,2800
54,17,76,600
61,20,67,3400
107,27,67,2600
35,8,58,3400
99,16,78,3100
34,32,64,2700
18,31,77,2600
69,31,77,2000
104,41,52,3200
93,3,52,2800
14,10,79,1200
24,45,73,1400
87,16,76,0
42,2,74,2200
33,22,55,3300
103,21,80,1000
81,39,79,1700
100,16,78,700
74,3,65,3600
41,6,80,100
96,30,63,3100
28,50,51,400
61,36,50,500
27,48,52,600
55,13,76,1300
21,27,75,4000
49,49,74,500
37,37,69,700
56,3,74,2600
64,51,56,2700
54,24,77,3900
20,39,70,1900
96,38,57,2800
23,3,71,1400
46,4,71,3400
42,7,62,1900
97,16,56,1900
21,31,79,1500
25,16,79,0
14,50,73,3500
87,7,77,1700
42,33,63,0
53,14,80,600
67,2,61,2500
68,20,75,1400
51,50,67,2900
92,29,76,3300
89,4,63,700
76,41,66,600
96,49,75,800
63,47,65,200
104,4,76,1100
57,8,52,2300
43,27,67,3300
71,47,58,600
76,25,54,3800
104,16,54,2100
28,28,64,3300
76,43,57,3100
51,33,70,1300
100,34,80,300
26,27,67,2900
65,8,55,3100
91,19,75,800
105,10,52,300
69,38,74,900
33,19,70,400
40,13,59,2400
72,40,68,3000
85,29,75,1100
69,23,75,100
30,51,75,1900
47,40,79,3300
73,23,64,2200
39,13,69,3300
57,6,63,800
14,15,57,1500
49,43,70,2900
28,2,63,2600
48,8,61,1400
109,37,69,2300
99,29,69,0
99,31,61,800
74,35,53,1900
41,50,51,200
109,45,57,2500
32,44,52,3600
93,39,80,1900
91,23,51,2400
84,15,74,1800
58,18,80,2900
80,8,63,3400
74,37,60,800
61,50,52,3200
96,13,51,2200
60,42,55,1400
73,26,65,3600
73,1,70,1400
103,18,55,1000
89,45,51,200
11,33,72,2700
30,25,73,2000
69,20,77,3000
12,16,76,1900
22,7,62,1700
67,3,67,600
79,9,78,3700
24,52,67,800
85,38,73,800
107,51,50,3100
16,24,72,100
70,9,74,2100
108,51,50,900
40,33,51,1800
109,23,55,2300
61,20,56,200
19,5,51,3400
53,27,68,3800
35,41,78,2500
107,20,57,1500
105,45,68,3900
76,39,79,3500
103,44,52,3200
10,30,66,0
54,25,52,2900
104,10,73,2600
83,48,64,3300
67,4,60,2600
93,16,52,0
105,8,61,700
15,23,53,2200
40,35,79,2500
85,25,76,2400
82,50,74,4000
98,3,64,3800
101,9,59,3700
87,39,71,1300
61,1,75,3500
66,49,80,3700
108,37,67,3600
22,19,61,1000
43,28,65,800
97,50,71,1500
78,6,56,800
28,24,54,1300
25,52,62,2600
82,29,74,2700
49,30,79,1800
87,32,65,800
91,19,66,3200
43,31,62,3900
98,19,55,900
49,28,69,200
53,25,55,1200
55,7,67,2400
63,1,70,700
37,3,68,200
100,3,64,900
109,45,64,3200
90,43,75,4000
105,18,57,3500
42,23,74,1300
31,49,66,4000
47,36,72,2800
76,21,54,1900
46,47,67,3800
82,11,68,3900
59,38,74,1500
91,19,64,3100
22,26,57,3200
19,30,65,1600
28,5,57,2900
92,19,61,2400
34,33,60,1600
44,48,57,2500
60,23,74,100
106,38,57,2300
93,41,59,700
92,37,65,1200
91,42,78,2700
53,46,76,500
70,1,69,2300
50,41,54,2100
83,29,80,100
45,24,61,1000
51,48,62,3800
46,51,54,1000
38,24,50,2000
39,29,72,1100
87,6,57,3800
56,32,50,1100
20,16,78,3600
108,39,76,2800
56,13,68,200
19,16,79,2000
109,5,72,1900
18,52,56,400
75,34,63,1400
90,6,73,3400
10,25,54,900
60,23,70,0
52,43,70,1600
11,1,58,3900
13,32,58,3500
69,37,80,3000
59,19,55,3000
97,52,77,1800
29,2,60,3300
105,33,63,1200
19,18,62,3600
24,49,51,2600
104,22,68,500
26,33,60,2400
21,46,67,1100
67,31,79,1900
58,28,61,1200
92,44,65,2900
12,12,53,1300
100,30,54,1700
65,30,53,0
78,23,80,3800
102,11,58,100
44,34,65,600
11,34,52,1200
17,50,78,1800
30,50,55,1100
73,21,79,2700
60,1,56,1000
52,3,62,3400
46,37,71,300
104,40,62,1400
51,52,57,2500
30,18,68,500
27,10,67,1000
106,32,57,2000
108,5,76,2700
37,10,52,2200
45,44,64,0
46,9,65,2600
39,45,78,100
58,1,62,3300
15,29,74,1600
93,46,76,900
48,2,52,200
71,9,59,900
66,23,60,1700
68,24,79,1400
91,27,65,3700
102,29,64,2200
100,20,73,4000
44,37,64,1200
98,27,65,2300
11,50,50,2100
78,39,76,3000
56,45,77,2600
37,21,75,1500
15,6,61,3800
25,31,67,2800
43,43,65,2900
34,51,58,1800
41,30,79,900
59,33,68,4000
44,26,50,3700
54,14,61,3700
60,15,56,700
94,52,58,1700
14,11,52,3200
82,14,52,3100
67,21,76,500
46,47,53,3700
85,30,53,3100
54,43,77,3800
65,3,60,3400
80,10,75,3400
12,7,51,2800
72,25,52,600
37,3,62,3000
27,43,56,2800
64,42,80,2800
24,30,60,3000
16,13,77,500
88,9,79,1000
85,19,72,1800
100,26,57,1400
50,13,69,3100
73,14,80,3300
13,11,75,1600
108,22,73,3000
11,38,67,1100
11,38,76,1700
84,19,57,2100
109,17,73,1100
43,24,78,1800
84,14,78,900
83,31,65,3100
69,50,57,3100
14,44,66,2300
58,16,55,1300
26,8,70,3600
68,17,79,1000
76,17,52,3100
44,29,71,2800
12,24,77,2600
39,8,76,1500
73,45,52,1200
45,39,57,2500
64,12,62,3600
57,23,67,400
70,10,62,2700
69,14,70,2800
36,42,66,400
18,2,76,800
87,29,65,1000
45,44,60,600
100,33,63,100
68,11,63,200
45,1,54,1800
22,16,51,1300
100,17,56,3400
88,34,79,3800
45,8,74,1500
44,13,53,2100
49,39,70,800
12,37,56,900
92,2,60,2700
92,24,78,3700
90,17,71,1600
106,16,69,3400
86,22,74,2900
20,47,60,300
54,28,76,1500
102,29,61,2300
46,25,52,200
87,28,79,3400
76,12,75,1800
82,13,72,500
47,30,75,1300
41,12,73,1000
101,44,72,3100
33,30,56,0
89,39,72,700
39,26,60,1700
107,20,77,1500
100,33,53,200
28,28,80,600
12,37,52,2100
25,27,68,2400
39,13,75,600
33,33,51,400
104,15,64,700
109,9,74,3400
84,13,52,3200
31,2,75,100
70,19,70,3500
92,30,73,900
62,13,52,3700
42,31,66,3700
109,17,60,1000
27,33,59,1700
97,44,71,100
15,4,72,3000
22,41,58,1800
10,7,56,500
19,31,51,3700
31,16,79,1500
99,1,56,2500
49,19,57,3000
92,10,77,400
39,10,54,3700
30,48,52,2000
55,33,73,1500
82,22,72,1200
64,22,53,2700
91,12,53,1800
23,28,53,3300
57,9,52,1400
104,11,51,3200
91,17,75,2800
32,26,76,2400
60,2,50,1400
17,22,80,1600
43,18,77,2500
57,12,50,1800
38,3,69,2200
53,24,69,2800
103,19,66,3700
81,52,62,800
26,27,58,3100
24,29,61,3300
64,41,51,1600
26,11,55,2800
68,8,69,1400
56,35,59,200
65,7,75,1700
106,35,57,2200
98,5,72,200
109,38,68,800
52,47,50,700
51,25,69,3500
53,7,50,3900
72,4,64,2500
83,3,63,2600
12,3,67,1200
42,32,52,3700
100,52,60,800
109,10,68,2900
56,23,57,3800
107,6,51,0
86,33,77,1400
13,28,54,2700
87,45,70,3100
101,29,76,1000
84,29,69,1400
39,10,51,1700
67,48,77,2900
50,48,53,400
87,32,58,2800
73,26,58,300
101,27,74,2700
20,44,51,100
45,31,65,3400
92,38,75,3700
87,7,75,3200
90,48,63,3300
78,5,63,2900
19,29,69,1200
106,43,79,2700
91,30,63,700
20,40,80,3000
75,40,65,900
11,48,62,500
17,7,61,3700
43,25,66,2800
38,42,68,3800
41,22,63,3400
50,19,79,1600
42,28,65,3400
69,48,76,700
35,41,72,300
43,15,64,3000
56,9,78,3200
12,7,67,700
11,7,52,2000
32,2,52,1900
71,48,54,1300
49,35,50,2000
54,5,59,2300
97,32,63,2000
106,43,72,2800
25,44,79,700
40,20,78,2300
62,19,51,1300
69,18,61,3300
45,13,68,1100
62,22,79,1100
88,30,77,3100
79,48,71,1700
19,38,69,300
55,42,70,2700
32,19,53,2100
54,15,70,0
75,6,71,2300
31,6,65,300
39,46,77,3500
48,2,61,3900
91,32,60,200
11,4,77,500
16,3,79,100
16,48,54,3500
20,23,59,2500
42,33,65,3600
100,11,80,2400
22,11,54,3400
107,12,79,100
47,35,65,4000
99,47,77,1300
50,5,58,2100
70,48,50,3100
44,27,78,800
98,25,63,300
35,34,67,0
48,29,66,3700
41,47,67,3200
36,37,58,300
61,49,56,1600
84,24,62,3000
19,8,60,1100
92,40,70,500
96,39,58,900
33,12,71,2000
60,1,61,3400
41,25,59,800
100,41,70,3600
15,9,56,2100
48,20,74,2000
84,50,67,3600
67,46,51,3800
95,44,61,200
20,17,79,4000
48,52,75,700
67,22,62,900
26,47,78,1600
82,37,77,3300
30,1,78,3200
11,8,59,800
25,11,71,600
93,14,57,2400
90,30,65,3500
20,26,50,1500
17,41,67,2500
87,20,77,2500
34,12,53,400
104,5,73,3400
53,38,79,2800
78,27,73,0
81,46,50,2300
70,10,54,3000
28,47,77,700
68,8,60,2400
84,6,68,3600
68,20,65,3000
52,1,77,700
22,50,70,1500
11,43,52,4000
75,40,60,1600
24,16,60,500
33,20,63,500
87,20,63,1000
78,3,51,500
43,10,62,0
18,28,65,1700
33,37,79,100
69,31,52,1500
43,35,68,3100
79,27,78,1600
26,23,66,2400
97,1,79,2200
37,1,64,3800
48,13,52,0
24,40,55,3000
74,35,64,1300
83,41,55,2300
105,37,56,1400
76,47,59,800
35,3,70,2700
108,48,63,2200
15,42,78,2400
55,36,67,1100
35,41,70,0
23,51,52,3400
11,52,66,2900
98,1,62,2700
10,24,59,0
16,12,57,2300
89,17,56,3600
